id_klienta	nazwisko	imie	kraj
ORK818513	Engel	Lukas	GER
BCB779268	Poznanska	Iwona	POL
CCV605490	Postrach	Barbara	POL
VFC249487	Szedzin	Renata	POL
RTW971212	Luevano	Saturnino	MEX
NOJ872650	Lehtonen	Valtteri 	FIN
VYE586536	Legnicka	Magdalena	POL
RZF378620	Bielnik	Alicja	POL
DET513154	Sanocki	Juliusz	POL
WEZ912122	Moya	Brian 	COL
DVG971507	Dawidson	Magdalena	POL
TGF290270	Simic	Mateja	SLO
RMZ462517	Biela	Anna	POL
RSB598113	Kucharska	Beata	POL
BCJ726627	Browarska	Krystyna	POL
SKR669306	Bolek	Hanna	POL
YCT781777	Neumann	Elias	GER
UJK420745	Owczarek	Adam	POL
TPK397768	Platek	Walery	POL
EUK961141	Legiowska	Iwona	POL
TVB464972	Byczkowska	Agnieszka	POL
DYI428399	Camarillo	Feliciano	BRA
VUX670923	Espinosa	Isbel	ESP
RRK335962	Grey	Abby	GBR
MOK900009	Zwierzynski	Ewa	POL
GPP907647	Ledwon	Hanna	POL
EYF112362	Camacho	Pastor	ESP
RHU220421	Tarnopolska	Danuta	POL
BGB502722	Matuszewska	Agnieszka	POL
RPK602859	Wysoki	Andrzej	POL
OKR332877	Wlodarek	Maria	POL
TBK265602	Lis	Jolanta	POL
YIO879986	Hinojosa	Ricardo	VEN
KRO724508	Gryczka	Anna	POL
PIJ389191	Kapusniak	Anna	POL
NKC971507	Paprocka	Ewa	POL
BFY293639	Pasieka	Joanna	POL
ENB613241	Holgue	Edgardo	ECU
NGN541086	Kos	Jolanta	POL
GOD267069	Sulkowska	Katarzyna	POL
ZYE238421	Szumylowicz	Szymon	POL
JPY803476	Kaliski	Karol	POL
ZPC215720	Nawizowska	Miroslawa	POL
XTF963335	Kolek	Lukasz	POL
YBJ903573	Regalado	Pancho	MEX
LCB302523	Kasperczyk	Krystyna	POL
YRR163856	Pobij	Jolanta	POL
JPP325305	Wolniak	Alicja	POL
ASJ135128	Pala	Maria	POL
PRN173488	Tamayo	Amidio	MEX
XFV556323	Wallach	Noah	GER
RBR824554	Piwowarczyk	Agnieszka	POL
LBW553901	Warszawski	Adam	POL
VJJ758474	Giersztof	Joanna	POL
ZEE166225	Juszczyk	Ewelina	POL
URC235184	Malecka	Urszula	POL
JZF110629	Kaczmarska	Danuta	POL
TPR517784	Stan	Magdalena	POL
TBJ380024	Supernak	Mariusz	POL
BUB704931	Ssnicka	Magdalena	POL
IZN649245	Trzepizur	Mariola	POL
FEG935584	Legieski	Grzegorz	POL
ISD367151	Klepacz	Ewa	POL
OUY773216	Stacherczak	Krzysztof	POL
KJK694937	Sielecka	Magdalena	POL
BAP128624	Stasiak	Arkadiusz	POL
WFB791648	Frukacz	Anna	POL
TSO789753	Kucharska	Arkadiusz	POL
CBX802032	Gliwicki	Cyryl	POL
UBK553061	Riveros	Gaspar	CHI
PBA315651	Gorska	Ewa	POL
MFT407122	Orlowska	Joanna	POL
BWO990674	Black	Lizzy	USA
GBU492278	Kozlowska	Maria	POL
RTZ470730	Gdynska	Dorota	POL
RET922323	Lenkkeri	Oskari 	FIN
EIN310053	Perczak	Irena	POL
UJR657094	Damlaimcourt	Marina	ESP
VRR155086	Majcherek	Martyna	POL
WBW323306	Taffanel	Arsene	FRA
KEC774740	Mulica	Zbigniewa	POL
YRP328127	Dudek	Tytus	POL
WRF189944	Szczelniak	Honorata	POL
HRF954341	Duklacki	Tytus	POL
ZCT172971	Kalanowski	Andrzej	POL
GTO917591	Leginski	Hilary	POL
EFO895828	Kolman	Brygida	POL
BBZ364765	Rava	Gilberto	ITA
BOY357635	Augustyniak	Cezary	POL
SZF129868	Brzezinska	Dorota	POL
PPZ684151	Jelenska	Anna	POL
IKZ389167	Legienski	Maciej	POL
FBU495779	Chalaszczyk	Beata	POL
UYZ730078	Wanke	Tim	GER
TGP854523	Arias	Eduardo	COL
PZB427936	Leitch	Graham	GBR
RBC985630	Starachowski	Kazimierz	POL
UUB320399	Majchrzak	Dorota	POL
CVP640829	Bogdanska	Anna	POL
SFB946796	Misiak	Agnieszka	POL
TNK425980	Sielecka	Jan	POL
GRM482539	Coronado	Rolando	PUR
DRK617971	Wronska	Agata	POL
