"Ident";"IMIÊ";"NAZWISKO";"ZAK£AD";"DATA_ZATRU";"P£EÆ";"PENSJA";"PALI"
304,00;"Jolanta";"Jurejnik";"IT";15-1-87 00:00:00;"K";4160,00;0,00
305,00;"Joanna";"Burak";"MR";1-3-86 00:00:00;"K";3440,00;0,00
306,00;"Krzysztof";"Niejadek";"MR";15-8-86 00:00:00;"M";2960,00;1,00
307,00;"Piotr";"¯aba";"MR";1-11-85 00:00:00;"M";2880,00;0,00
308,00;"Marek";"Piwonia";"OK";1-2-85 00:00:00;"M";4160,00;0,00
309,00;"Pawe³";"Reter";"TR";1-5-85 00:00:00;"M";4160,00;0,00
310,00;"Robert";"Kuchnowski";"TR";1-1-83 00:00:00;"M";4160,00;0,00
311,00;"Roman";"Wierzbicki";"TR";1-1-83 00:00:00;"M";4160,00;0,00
312,00;"Edmund";"Sita";"MR";1-3-82 00:00:00;"M";2880,00;0,00
313,00;"Witold";"Wodecki";"EK";1-11-87 00:00:00;"M";4160,00;0,00
314,00;"Marta";"S³onko";"AT";1-10-82 00:00:00;"K";4240,00;0,00
315,00;"Anna";"Zaborny";"TR";15-8-86 00:00:00;"K";4320,00;1,00
316,00;"Zbigniew";"Mikos";"MR";1-6-85 00:00:00;"M";2880,00;1,00
317,00;"Irena";"Nowicka";"OK";1-12-79 00:00:00;"K";4400,00;1,00
318,00;"Helena";"Groniec";"MR";1-11-80 00:00:00;"K";3280,00;1,00
319,00;"Janusz";"Wasiek";"MR";1-8-84 00:00:00;"M";2880,00;0,00
320,00;"Wojciech";"Kozak";"MR";1-9-77 00:00:00;"M";4123,00;0,00
321,00;"Jadwiga";"Kowalska";"TR";1-10-79 00:00:00;"K";4560,00;1,00
322,00;"Teresa";"Furmañska";"TCH";1-2-74 00:00:00;"K";4560,00;1,00
323,00;"Walentyna";"Matan";"OK";1-1-72 00:00:00;"K";4560,00;1,00
324,00;"Tomasz";"Ma³ek";"MR";1-10-72 00:00:00;"M";3456,00;0,00
325,00;"Jaros³aw";"Jankowski";"AD";15-2-71 00:00:00;"M";9600,00;0,00
